handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
0.017,0.033,1,1,5
0.017,0.035,1,1,5
0.017,0.04,1,1,5
0.017,0.05,1,1,5
0.017,0.033,1,1,5
0.026,0.078,3,5,6
0.026,0.087,3,5,6
0.026,0.079,3,5,6
0.026,0.078,3,5,6
0.026,0.086,3,5,6
0.026,0.118,3,5,6
0.026,0.075,3,5,6
0.026,0.175,3,5,6
0.026,0.056,3,5,6
0.026,0.055,3,5,6
0.026,0.048,3,5,6
0.026,0.486,3,5,6
0.026,0.089,3,5,6
0.026,0.235,3,5,6
0.026,0.209,3,5,6
0.026,33.345,3,5,6
0.025,0.073,1,1,7
0.025,149.621,1,20,7
0.025,0.054,1,1,7
0.025,0.081,1,1,7
0.025,0.122,1,1,7
0.025,0.082,1,1,7
0.025,0.081,1,1,7
0.025,0.095,1,1,7
0.025,0.053,1,1,7
0.032,0.05,1,1,8
0.032,0.051,1,1,8
0.032,0.09,1,1,8
0.032,0.077,1,1,8
0.032,0.06,1,1,8
0.032,0.046,1,1,8
0.032,0.048,1,1,8
0.032,0.055,1,1,8
0.032,0.064,1,1,8
0.032,0.066,1,1,8
0.032,0.065,1,1,8
0.032,0.064,1,1,8
0.032,149.632,1,18,8
0.032,0.089,1,1,8
0.032,1.083,1,1,8
0.032,0.076,1,1,8
1.162,2.809,5,6,9
1.162,1.934,5,6,9
1.162,1.965,5,6,9
1.162,2.007,5,6,9
1.162,5.152,5,6,9
1.162,1.831,5,6,9
1.162,3.658,5,6,9
1.162,71.049,5,6,9
1.162,2.097,5,6,9
1.162,2.155,5,6,9
1.162,5.128,5,6,9
1.162,1.246,5,6,9
1.162,1.331,5,6,9
1.162,1.997,5,6,9
1.162,2.068,5,6,9
11.495,6.224,5,7,10
11.495,6.082,5,7,10
11.495,15.281,5,7,10
11.495,15.353,5,7,10
11.495,15.954,5,7,10
11.495,21.319,5,7,10
11.495,36.725,5,7,10
11.495,33.895,5,7,10
11.495,7.389,5,6,10
11.495,65.018,5,6,10
11.495,64.972,5,7,10
11.495,6.387,5,7,10
11.495,16.113,5,7,10
0.047,0.093,3,4,11
0.047,0.047,3,4,11
0.047,23.514,3,4,11
0.047,0.05,3,4,11
0.047,0.043,3,4,11
0.047,0.071,3,4,11
0.047,0.061,3,4,11
0.047,149.628,3,20,11
0.047,0.061,3,4,11
0.047,0.066,3,4,11
0.047,0.065,3,4,11
0.047,0.067,3,4,11
0.047,0.11,3,4,11
0.047,0.056,3,4,11
0.047,0.189,3,4,11
